"jahr","gemnr","pop"
"2021","41337",1270
"2022","41337",1311
"2023","41337",1320
"2024","41337",1331
"2025","41337",1337
"2002","41338",2354
"2003","41338",2332
"2004","41338",2308
"2005","41338",2304
"2006","41338",2301
"2007","41338",2289
"2008","41338",2251
"2009","41338",2235
"2010","41338",2244
"2011","41338",2236
"2012","41338",2227
"2013","41338",2250
"2014","41338",2262
"2015","41338",2264
"2016","41338",2277
"2017","41338",2299
"2018","41338",2284
"2019","41338",2276
"2020","41338",2272
"2021","41338",2256
"2022","41338",2245
"2023","41338",2238
"2024","41338",2248
"2025","41338",2246
"2002","41341",696
"2003","41341",699
"2004","41341",679
"2005","41341",665
"2006","41341",676
"2007","41341",670
"2008","41341",664
"2009","41341",656
"2010","41341",641
"2011","41341",639
"2012","41341",637
"2013","41341",629
"2014","41341",627
"2015","41341",645
"2016","41341",635
"2017","41341",582
"2018","41341",566
"2019","41341",577
"2020","41341",570
"2021","41341",571
"2022","41341",577
"2023","41341",575
"2024","41341",582
"2025","41341",576
"2002","41342",3033
"2003","41342",3000
"2004","41342",3028
"2005","41342",3028
"2006","41342",3027
"2007","41342",3010
"2008","41342",2997
"2009","41342",2985
"2010","41342",2984
"2011","41342",2961
"2012","41342",2959
"2013","41342",2900
"2014","41342",2884
"2015","41342",2851
"2016","41342",2835
"2017","41342",2836
"2018","41342",2843
"2019","41342",2829
"2020","41342",2850
"2021","41342",2846
"2022","41342",2865
"2023","41342",2876
"2024","41342",2872
"2025","41342",2858
"2002","41343",3296
"2003","41343",3306
"2004","41343",3285
"2005","41343",3278
"2006","41343",3265
"2007","41343",3231
"2008","41343",3231
"2009","41343",3262
"2010","41343",3230
"2011","41343",3238
"2012","41343",3214
"2013","41343",3180
"2014","41343",3138
"2015","41343",3112
"2016","41343",3143
"2017","41343",3190
"2018","41343",3212
"2019","41343",3216
"2020","41343",3241
"2021","41343",3219
"2022","41343",3220
"2023","41343",3225
"2024","41343",3267
"2025","41343",3282
"2002","41344",5021
"2003","41344",5055
"2004","41344",5067
"2005","41344",5086
"2006","41344",5128
"2007","41344",5124
"2008","41344",5119
"2009","41344",5112
"2010","41344",5070
"2011","41344",5060
"2012","41344",5018
"2013","41344",4997
"2014","41344",5048
"2015","41344",5074
"2016","41344",5160
"2017","41344",5175
"2018","41344",5134
"2019","41344",5160
"2020","41344",5219
"2021","41344",5182
"2022","41344",5241
"2023","41344",5239
"2024","41344",5295
"2025","41344",5291
"2002","41345",1634
"2003","41345",1619
"2004","41345",1610
"2005","41345",1601
"2006","41345",1592
"2007","41345",1573
"2008","41345",1572
"2009","41345",1565
"2010","41345",1543
"2011","41345",1547
"2012","41345",1545
"2013","41345",1533
"2014","41345",1523
"2015","41345",1544
"2016","41345",1588
"2017","41345",1583
"2018","41345",1596
"2019","41345",1584
"2020","41345",1541
"2021","41345",1533
"2022","41345",1544
"2023","41345",1594
"2024","41345",1574
"2025","41345",1552
"2002","41346",1170
"2003","41346",1170
"2004","41346",1181
"2005","41346",1204
"2006","41346",1197
"2007","41346",1184
"2008","41346",1157
"2009","41346",1133
"2010","41346",1137
"2011","41346",1137
"2012","41346",1125
"2013","41346",1116
"2014","41346",1107
"2015","41346",1091
"2016","41346",1107
"2017","41346",1101
"2018","41346",1112
"2019","41346",1100
"2020","41346",1108
"2021","41346",1104
"2022","41346",1123
"2023","41346",1110
"2024","41346",1109
"2025","41346",1094
"2002","41401",675
"2003","41401",682
"2004","41401",666
"2005","41401",651
"2006","41401",637
"2007","41401",630
"2008","41401",632
"2009","41401",641
"2010","41401",643
"2011","41401",655
"2012","41401",664
"2013","41401",669
"2014","41401",663
"2015","41401",672
"2016","41401",708
"2017","41401",707
"2018","41401",700
"2019","41401",697
"2020","41401",702
"2021","41401",695
"2022","41401",718
"2023","41401",714
"2024","41401",722
"2025","41401",721
"2002","41402",4863
"2003","41402",4866
"2004","41402",4864
"2005","41402",4913
"2006","41402",4949
"2007","41402",4971
"2008","41402",5016
"2009","41402",5032
"2010","41402",5034
"2011","41402",5058
"2012","41402",5054
"2013","41402",5084
"2014","41402",5123
"2015","41402",5130
"2016","41402",5129
"2017","41402",5224
"2018","41402",5174
"2019","41402",5204
"2020","41402",5211
"2021","41402",5203
"2022","41402",5187
"2023","41402",5176
"2024","41402",5218
"2025","41402",5221
"2002","41403",1936
"2003","41403",1973
"2004","41403",1995
"2005","41403",1986
"2006","41403",1997
"2007","41403",1995
"2008","41403",1986
"2009","41403",1985
"2010","41403",1989
"2011","41403",1969
"2012","41403",1972
"2013","41403",1969
"2014","41403",1978
"2015","41403",2012
"2016","41403",2009
"2017","41403",2041
"2018","41403",2032
"2019","41403",2073
"2020","41403",2098
"2021","41403",2085
"2022","41403",2100
"2023","41403",2071
"2024","41403",2060
"2025","41403",2080
"2002","41404",1695
"2003","41404",1680
"2004","41404",1664
"2005","41404",1663
"2006","41404",1626
"2007","41404",1618
"2008","41404",1636
"2009","41404",1603
"2010","41404",1588
"2011","41404",1595
"2012","41404",1611
"2013","41404",1597
"2014","41404",1562
"2015","41404",1532
"2016","41404",1553
"2017","41404",1589
"2018","41404",1583
"2019","41404",1594
"2020","41404",1563
"2021","41404",1545
"2022","41404",1532
"2023","41404",1532
"2024","41404",1526
"2025","41404",1522
"2002","41405",1022
"2003","41405",1003
"2004","41405",993
"2005","41405",1006
"2006","41405",1010
"2007","41405",1011
"2008","41405",1016
"2009","41405",1022
"2010","41405",1036
"2011","41405",1022
"2012","41405",1032
"2013","41405",1044
"2014","41405",1042
"2015","41405",1049
"2016","41405",1037
"2017","41405",1028
"2018","41405",1039
"2019","41405",1048
"2020","41405",1047
"2021","41405",1072
"2022","41405",1077
"2023","41405",1101
"2024","41405",1095
"2025","41405",1088
"2002","41406",1314
"2003","41406",1309
"2004","41406",1298
"2005","41406",1266
"2006","41406",1253
"2007","41406",1274
"2008","41406",1261
"2009","41406",1268
"2010","41406",1242
"2011","41406",1244
"2012","41406",1246
"2013","41406",1262
"2014","41406",1268
"2015","41406",1286
"2016","41406",1310
"2017","41406",1328
"2018","41406",1320
"2019","41406",1321
"2020","41406",1337
"2021","41406",1339
"2022","41406",1361
"2023","41406",1386
"2024","41406",1401
"2025","41406",1378
"2002","41407",1138
"2003","41407",1126
"2004","41407",1100
"2005","41407",1106
"2006","41407",1109
"2007","41407",1072
"2008","41407",1066
"2009","41407",1027
"2010","41407",998
"2011","41407",983
"2012","41407",980
"2013","41407",972
"2014","41407",971
"2015","41407",972
"2016","41407",983
"2017","41407",948
"2018","41407",942
"2019","41407",924
"2020","41407",922
"2021","41407",909
"2022","41407",922
"2023","41407",940
"2024","41407",921
"2025","41407",906
"2002","41408",1757
"2003","41408",1772
"2004","41408",1746
"2005","41408",1743
"2006","41408",1785
"2007","41408",1796
"2008","41408",1796
"2009","41408",1784
"2010","41408",1793
"2011","41408",1794
"2012","41408",1786
"2013","41408",1758
"2014","41408",1758
"2015","41408",1793
"2016","41408",1775
"2017","41408",1786
"2018","41408",1772
"2019","41408",1774
"2020","41408",1778
"2021","41408",1794
"2022","41408",1798
"2023","41408",1807
"2024","41408",1809
"2025","41408",1780
"2002","41409",2818
"2003","41409",2804
"2004","41409",2803
"2005","41409",2815
"2006","41409",2802
"2007","41409",2782
"2008","41409",2810
"2009","41409",2841
"2010","41409",2880
"2011","41409",2895
"2012","41409",2908
"2013","41409",2894
"2014","41409",2870
"2015","41409",2871
"2016","41409",2868
"2017","41409",2887
"2018","41409",2855
"2019","41409",2857
"2020","41409",2866
"2021","41409",2850
"2022","41409",2851
"2023","41409",2855
"2024","41409",2855
"2025","41409",2849
"2002","41410",1465
"2003","41410",1466
"2004","41410",1476
"2005","41410",1473
"2006","41410",1480
"2007","41410",1495
"2008","41410",1498
"2009","41410",1510
"2010","41410",1499
"2011","41410",1486
"2012","41410",1461
"2013","41410",1468
"2014","41410",1457
"2015","41410",1449
"2016","41410",1459
"2017","41410",1444
"2018","41410",1458
"2019","41410",1452
"2020","41410",1433
"2021","41410",1440
"2022","41410",1421
"2023","41410",1475
"2024","41410",1515
"2025","41410",1531
"2002","41411",2047
"2003","41411",2043
"2004","41411",2037
"2005","41411",2024
"2006","41411",2030
"2007","41411",2001
"2008","41411",1993
"2009","41411",2001
"2010","41411",1980
"2011","41411",1975
"2012","41411",1963
"2013","41411",1958
"2014","41411",1951
"2015","41411",1948
"2016","41411",1941
"2017","41411",1974
"2018","41411",2008
"2019","41411",2002
"2020","41411",1985
"2021","41411",1970
"2022","41411",1974
"2023","41411",1973
"2024","41411",1970
"2025","41411",1965
"2002","41412",259
"2003","41412",267
"2004","41412",263
"2005","41412",269
"2006","41412",259
"2007","41412",275
"2008","41412",277
"2009","41412",280
"2010","41412",278
"2011","41412",285
"2012","41412",303
"2013","41412",292
"2014","41412",301
"2015","41412",296
"2016","41412",302
"2017","41412",320
"2018","41412",322
"2019","41412",330
"2020","41412",324
"2021","41412",318
"2022","41412",317
"2023","41412",325
"2024","41412",315
"2025","41412",329
"2002","41413",2555
"2003","41413",2551
"2004","41413",2569
"2005","41413",2573
"2006","41413",2545
"2007","41413",2555
"2008","41413",2569
"2009","41413",2537
"2010","41413",2540
"2011","41413",2536
"2012","41413",2551
"2013","41413",2549
"2014","41413",2545
"2015","41413",2529
"2016","41413",2574
"2017","41413",2599
"2018","41413",2572
"2019","41413",2560
"2020","41413",2532
"2021","41413",2547
"2022","41413",2564
"2023","41413",2557
"2024","41413",2552
"2025","41413",2575
"2002","41414",2279
"2003","41414",2308
"2004","41414",2310
"2005","41414",2305
"2006","41414",2323
"2007","41414",2319
"2008","41414",2262
"2009","41414",2290
"2010","41414",2288
"2011","41414",2267
"2012","41414",2267
"2013","41414",2252
"2014","41414",2260
"2015","41414",2264
"2016","41414",2298
"2017","41414",2284
"2018","41414",2270
"2019","41414",2276
"2020","41414",2268
"2021","41414",2266
"2022","41414",2271
"2023","41414",2345
"2024","41414",2341
"2025","41414",2324
"2002","41415",1505
"2003","41415",1516
"2004","41415",1505
"2005","41415",1510
"2006","41415",1509
"2007","41415",1506
"2008","41415",1509
"2009","41415",1503
"2010","41415",1507
"2011","41415",1516
"2012","41415",1524
"2013","41415",1502
"2014","41415",1481
"2015","41415",1505
"2016","41415",1486
"2017","41415",1477
"2018","41415",1478
"2019","41415",1485
"2020","41415",1490
"2021","41415",1517
"2022","41415",1534
"2023","41415",1549
"2024","41415",1566
"2025","41415",1576
"2002","41416",1985
"2003","41416",1996
"2004","41416",2032
"2005","41416",2022
"2006","41416",2006
"2007","41416",2028
"2008","41416",2034
"2009","41416",1999
"2010","41416",1984
"2011","41416",1963
"2012","41416",1975
"2013","41416",1998
"2014","41416",1985
"2015","41416",2034
"2016","41416",2042
"2017","41416",2068
"2018","41416",2069
"2019","41416",2072
"2020","41416",2072
"2021","41416",2068
"2022","41416",2056
"2023","41416",2045
"2024","41416",2021
"2025","41416",2012
"2002","41417",1645
"2003","41417",1644
"2004","41417",1639
"2005","41417",1618
"2006","41417",1619
"2007","41417",1624
"2008","41417",1616
"2009","41417",1628
"2010","41417",1619
"2011","41417",1611
"2012","41417",1595
"2013","41417",1596
"2014","41417",1579
"2015","41417",1579
"2016","41417",1573
"2017","41417",1571
"2018","41417",1556
"2019","41417",1548
"2020","41417",1551
"2021","41417",1541
"2022","41417",1537
"2023","41417",1576
"2024","41417",1556
"2025","41417",1569
"2002","41418",2997
"2003","41418",3026
"2004","41418",3030
"2005","41418",3025
"2006","41418",3055
"2007","41418",3109
"2008","41418",3103
"2009","41418",3112
"2010","41418",3113
"2011","41418",3080
"2012","41418",3085
"2013","41418",3088
"2014","41418",3071
"2015","41418",3068
"2016","41418",3101
"2017","41418",3074
"2018","41418",3150
"2019","41418",3183
"2020","41418",3138
"2021","41418",3138
"2022","41418",3142
"2023","41418",3187
"2024","41418",3216
"2025","41418",3225
"2002","41419",1835
"2003","41419",1835
"2004","41419",1826
"2005","41419",1858
"2006","41419",1855
"2007","41419",1867
"2008","41419",1881
"2009","41419",1863
"2010","41419",1840
"2011","41419",1837
"2012","41419",1840
"2013","41419",1843
"2014","41419",1835
"2015","41419",1825
"2016","41419",1794
"2017","41419",1826
"2018","41419",1832
"2019","41419",1893
"2020","41419",1897
"2021","41419",1942
"2022","41419",1966
"2023","41419",2001
"2024","41419",2025
"2025","41419",2029
"2002","41420",1805
"2003","41420",1809
"2004","41420",1794
"2005","41420",1797
"2006","41420",1800
"2007","41420",1795
"2008","41420",1779
"2009","41420",1772
"2010","41420",1760
"2011","41420",1760
"2012","41420",1749
"2013","41420",1730
"2014","41420",1731
"2015","41420",1741
"2016","41420",1755
"2017","41420",1758
"2018","41420",1711
"2019","41420",1714
"2020","41420",1728
"2021","41420",1738
"2022","41420",1755
"2023","41420",1784
"2024","41420",1789
"2025","41420",1776
"2002","41421",1124
"2003","41421",1131
"2004","41421",1156
"2005","41421",1147
"2006","41421",1132
"2007","41421",1143
"2008","41421",1149
"2009","41421",1145
"2010","41421",1139
"2011","41421",1135
"2012","41421",1113
"2013","41421",1112
"2014","41421",1115
"2015","41421",1111
"2016","41421",1125
"2017","41421",1104
"2018","41421",1100
"2019","41421",1094
"2020","41421",1103
"2021","41421",1122
"2022","41421",1118
"2023","41421",1102
"2024","41421",1091
"2025","41421",1074
"2002","41422",5101
"2003","41422",5043
"2004","41422",5075
"2005","41422",5080
"2006","41422",5027
"2007","41422",4987
"2008","41422",4944
"2009","41422",4909
"2010","41422",4948
"2011","41422",4926
"2012","41422",4860
"2013","41422",4836
"2014","41422",4874
"2015","41422",4918
"2016","41422",4997
"2017","41422",5109
"2018","41422",5253
"2019","41422",5220
"2020","41422",5269
"2021","41422",5216
"2022","41422",5215
"2023","41422",5351
"2024","41422",5414
"2025","41422",5595
"2002","41423",2329
"2003","41423",2327
"2004","41423",2315
"2005","41423",2298
"2006","41423",2286
"2007","41423",2292
"2008","41423",2313
"2009","41423",2315
"2010","41423",2295
"2011","41423",2278
"2012","41423",2299
"2013","41423",2312
"2014","41423",2331
"2015","41423",2380
"2016","41423",2375
"2017","41423",2384
"2018","41423",2407
"2019","41423",2438
"2020","41423",2440
"2021","41423",2454
"2022","41423",2460
"2023","41423",2493
"2024","41423",2472
"2025","41423",2472
"2002","41424",830
"2003","41424",827
"2004","41424",825
"2005","41424",827
"2006","41424",827
"2007","41424",806
"2008","41424",799
"2009","41424",798
"2010","41424",805
"2011","41424",788
"2012","41424",792
"2013","41424",797
"2014","41424",800
"2015","41424",798
"2016","41424",828
"2017","41424",834
"2018","41424",848
"2019","41424",825
"2020","41424",824
"2021","41424",826
"2022","41424",843
"2023","41424",873
"2024","41424",878
"2025","41424",892
"2002","41425",1353
"2003","41425",1349
"2004","41425",1379
"2005","41425",1409
"2006","41425",1420
"2007","41425",1421
"2008","41425",1395
"2009","41425",1381
"2010","41425",1360
"2011","41425",1328
"2012","41425",1440
"2013","41425",1470
"2014","41425",1419
"2015","41425",1425
"2016","41425",1504
"2017","41425",1488
"2018","41425",1508
"2019","41425",1468
"2020","41425",1552
"2021","41425",1561
"2022","41425",1541
"2023","41425",1584
"2024","41425",1713
"2025","41425",1722
"2002","41426",2910
"2003","41426",2912
"2004","41426",2892
"2005","41426",2904
"2006","41426",2890
"2007","41426",2890
"2008","41426",2891
"2009","41426",2900
"2010","41426",2926
"2011","41426",2934
"2012","41426",2923
"2013","41426",2905
"2014","41426",2892
"2015","41426",2896
"2016","41426",2942
"2017","41426",2930
"2018","41426",2925
"2019","41426",2894
"2020","41426",2915
"2021","41426",2940
"2022","41426",2890
"2023","41426",2920
"2024","41426",2947
"2025","41426",2963
"2002","41427",711
"2003","41427",712
"2004","41427",705
"2005","41427",723
"2006","41427",715
"2007","41427",673
"2008","41427",694
"2009","41427",684
"2010","41427",674
"2011","41427",682
"2012","41427",688
"2013","41427",675
"2014","41427",685
"2015","41427",666
"2016","41427",644
"2017","41427",627
"2018","41427",611
"2019","41427",619
"2020","41427",609
"2021","41427",617
"2022","41427",620
"2023","41427",623
"2024","41427",626
"2025","41427",615
"2002","41428",1325
"2003","41428",1308
"2004","41428",1282
"2005","41428",1289
"2006","41428",1277
"2007","41428",1274
"2008","41428",1264
"2009","41428",1264
"2010","41428",1242
"2011","41428",1238
"2012","41428",1217
"2013","41428",1214
"2014","41428",1212
"2015","41428",1179
"2016","41428",1198
"2017","41428",1195
"2018","41428",1171
"2019","41428",1197
"2020","41428",1185
"2021","41428",1185
"2022","41428",1173
"2023","41428",1156
"2024","41428",1166
"2025","41428",1155
"2002","41429",1642
"2003","41429",1621
"2004","41429",1599
"2005","41429",1604
"2006","41429",1585
"2007","41429",1558
"2008","41429",1535
"2009","41429",1523
"2010","41429",1494
"2011","41429",1510
"2012","41429",1544
"2013","41429",1540
"2014","41429",1524
"2015","41429",1575
"2016","41429",1583
"2017","41429",1570
"2018","41429",1566
"2019","41429",1526
"2020","41429",1540
"2021","41429",1554
"2022","41429",1547
"2023","41429",1549
"2024","41429",1554
"2025","41429",1534
"2002","41430",2009
"2003","41430",2012
"2004","41430",1999
"2005","41430",2046
"2006","41430",2013
"2007","41430",2016
"2008","41430",2006
"2009","41430",2049
"2010","41430",2045
"2011","41430",2024
"2012","41430",2006
"2013","41430",2007
"2014","41430",2004
"2015","41430",2025
"2016","41430",2013
"2017","41430",2007
"2018","41430",2021
"2019","41430",2019
"2020","41430",2012
"2021","41430",1986
"2022","41430",2007
"2023","41430",2011
"2024","41430",1987
"2025","41430",1955
"2002","41501",1580
"2003","41501",1590
"2004","41501",1622
"2005","41501",1654
"2006","41501",1644
"2007","41501",1689
"2008","41501",1703
"2009","41501",1693
"2010","41501",1678
"2011","41501",1682
"2012","41501",1677
"2013","41501",1684
"2014","41501",1708
"2015","41501",1744
"2016","41501",1779
"2017","41501",1784
"2018","41501",1806
"2019","41501",1876
"2020","41501",1874
"2021","41501",1948
"2022","41501",1964
"2023","41501",2089
"2024","41501",2161
"2025","41501",2166
"2002","41502",2145
"2003","41502",2162
"2004","41502",2156
"2005","41502",2172
"2006","41502",2191
"2007","41502",2197
"2008","41502",2205
"2009","41502",2231
"2010","41502",2219
"2011","41502",2209
"2012","41502",2220
"2013","41502",2164
"2014","41502",2175
"2015","41502",2194
"2016","41502",2224
"2017","41502",2249
"2018","41502",2266
"2019","41502",2287
"2020","41502",2312
"2021","41502",2312
"2022","41502",2282
"2023","41502",2265
"2024","41502",2273
"2025","41502",2302
"2002","41503",4698
"2003","41503",4706
"2004","41503",4726
"2005","41503",4726
"2006","41503",4811
"2007","41503",4797
"2008","41503",4789
"2009","41503",4815
"2010","41503",4835
"2011","41503",4797
"2012","41503",4784
"2013","41503",4796
"2014","41503",4874
"2015","41503",4855
"2016","41503",5045
"2017","41503",5145
"2018","41503",5296
"2019","41503",5375
"2020","41503",5494
"2021","41503",5592
"2022","41503",5655
"2023","41503",5746
"2024","41503",5768
"2025","41503",5868
"2002","41504",2454
"2003","41504",2519
"2004","41504",2518
"2005","41504",2556
"2006","41504",2573
"2007","41504",2582
"2008","41504",2676
"2009","41504",2792
"2010","41504",2828
"2011","41504",2920
"2012","41504",2991
"2013","41504",3032
"2014","41504",3029
"2015","41504",3048
"2016","41504",3126
"2017","41504",3200
"2018","41504",3212
"2019","41504",3240
"2020","41504",3270
"2021","41504",3307
"2022","41504",3328
"2023","41504",3410
"2024","41504",3432
"2025","41504",3460
"2002","41505",1810
"2003","41505",1838
"2004","41505",1823
"2005","41505",1824
"2006","41505",1835
"2007","41505",1848
"2008","41505",1837
"2009","41505",1838
"2010","41505",1850
"2011","41505",1854
"2012","41505",1847
"2013","41505",1877
"2014","41505",1871
"2015","41505",1896
"2016","41505",1924
"2017","41505",1909
"2018","41505",1954
"2019","41505",1950
"2020","41505",1931
"2021","41505",1922
"2022","41505",1949
"2023","41505",1977
"2024","41505",1970
"2025","41505",1961
"2002","41506",6479
"2003","41506",6482
"2004","41506",6459
"2005","41506",6552
"2006","41506",6591
"2007","41506",6684
"2008","41506",6638
"2009","41506",6652
"2010","41506",6614
"2011","41506",6658
"2012","41506",6661
"2013","41506",6609
"2014","41506",6620
"2015","41506",6635
"2016","41506",6645
"2017","41506",6681
"2018","41506",6711
"2019","41506",6644
"2020","41506",6640
"2021","41506",6603
"2022","41506",6645
"2023","41506",6690
"2024","41506",6650
"2025","41506",6674
"2002","41507",2764
"2003","41507",2762
"2004","41507",2747
"2005","41507",2742
"2006","41507",2723
"2007","41507",2729
"2008","41507",2719
"2009","41507",2733
"2010","41507",2701
"2011","41507",2681
"2012","41507",2670
"2013","41507",2675
"2014","41507",2685
"2015","41507",2724
"2016","41507",2732
"2017","41507",2694
"2018","41507",2702
"2019","41507",2674
"2020","41507",2677
"2021","41507",2671
"2022","41507",2652
"2023","41507",2654
"2024","41507",2634
"2025","41507",2636
"2002","41508",1348
"2003","41508",1357
"2004","41508",1347
"2005","41508",1350
"2006","41508",1340
"2007","41508",1351
"2008","41508",1331
"2009","41508",1329
"2010","41508",1304
"2011","41508",1286
"2012","41508",1275
"2013","41508",1272
"2014","41508",1264
"2015","41508",1251
"2016","41508",1250
"2017","41508",1249
"2018","41508",1227
"2019","41508",1251
"2020","41508",1232
"2021","41508",1235
"2022","41508",1222
"2023","41508",1229
"2024","41508",1234
"2025","41508",1240
"2002","41509",1751
"2003","41509",1711
"2004","41509",1722
"2005","41509",1705
"2006","41509",1697
"2007","41509",1683
"2008","41509",1686
"2009","41509",1668
"2010","41509",1656
"2011","41509",1652
"2012","41509",1633
"2013","41509",1621
"2014","41509",1613
"2015","41509",1592
"2016","41509",1627
"2017","41509",1636
"2018","41509",1604
"2019","41509",1603
"2020","41509",1627
"2021","41509",1588
"2022","41509",1638
"2023","41509",1644
"2024","41509",1688
"2025","41509",1678
"2002","41510",1659
"2003","41510",1657
"2004","41510",1660
"2005","41510",1658
"2006","41510",1650
"2007","41510",1638
"2008","41510",1634
"2009","41510",1649
"2010","41510",1650
"2011","41510",1635
"2012","41510",1631
"2013","41510",1612
"2014","41510",1595
"2015","41510",1600
"2016","41510",1580
"2017","41510",1582
"2018","41510",1592
"2019","41510",1605
"2020","41510",1614
"2021","41510",1635
"2022","41510",1642
"2023","41510",1631
"2024","41510",1628
"2025","41510",1633
"2002","41511",2061
"2003","41511",2080
"2004","41511",2097
"2005","41511",2130
"2006","41511",2119
"2007","41511",2119
"2008","41511",2142
"2009","41511",2125
"2010","41511",2104
"2011","41511",2120
"2012","41511",2141
"2013","41511",2161
"2014","41511",2156
"2015","41511",2164
"2016","41511",2162
"2017","41511",2215
"2018","41511",2244
"2019","41511",2284
"2020","41511",2309
"2021","41511",2316
"2022","41511",2329
"2023","41511",2356
"2024","41511",2339
"2025","41511",2359
"2002","41512",1901
"2003","41512",1892
"2004","41512",1882
"2005","41512",1888
"2006","41512",1870
"2007","41512",1841
"2008","41512",1843
"2009","41512",1795
"2010","41512",1804
"2011","41512",1794
"2012","41512",1794
"2013","41512",1764
"2014","41512",1730
"2015","41512",1742
"2016","41512",1731
"2017","41512",1741
"2018","41512",1742
"2019","41512",1705
"2020","41512",1708
"2021","41512",1707
"2022","41512",1683
"2023","41512",1689
"2024","41512",1679
"2025","41512",1670
"2002","41513",1128
"2003","41513",1167
"2004","41513",1203
"2005","41513",1227
"2006","41513",1224
"2007","41513",1238
"2008","41513",1244
"2009","41513",1249
"2010","41513",1248
"2011","41513",1250
"2012","41513",1212
"2013","41513",1210
"2014","41513",1204
"2015","41513",1230
"2016","41513",1312
"2017","41513",1343
"2018","41513",1374
"2019","41513",1404
"2020","41513",1422
"2021","41513",1445
"2022","41513",1459
"2023","41513",1495
"2024","41513",1507
"2025","41513",1494
"2002","41514",2966
"2003","41514",2993
"2004","41514",3085
"2005","41514",3098
"2006","41514",3119
"2007","41514",3095
"2008","41514",3081
"2009","41514",3045
"2010","41514",3046
"2011","41514",3032
"2012","41514",2996
"2013","41514",2989
"2014","41514",3008
"2015","41514",3015
"2016","41514",3010
"2017","41514",3018
"2018","41514",2969
"2019","41514",3022
"2020","41514",3043
"2021","41514",3084
"2022","41514",3098
"2023","41514",3168
"2024","41514",3215
"2025","41514",3235
"2002","41515",1250
"2003","41515",1240
"2004","41515",1258
"2005","41515",1251
"2006","41515",1268
"2007","41515",1256
"2008","41515",1247
"2009","41515",1233
"2010","41515",1246
"2011","41515",1234
"2012","41515",1224
"2013","41515",1221
"2014","41515",1221
"2015","41515",1214
"2016","41515",1226
"2017","41515",1238
"2018","41515",1224
"2019","41515",1218
"2020","41515",1249
"2021","41515",1280
"2022","41515",1316
"2023","41515",1292
"2024","41515",1310
"2025","41515",1317
"2002","41516",8582
"2003","41516",8650
"2004","41516",8737
"2005","41516",8830
"2006","41516",8981
"2007","41516",9048
"2008","41516",9044
"2009","41516",9044
"2010","41516",9099
"2011","41516",9084
"2012","41516",9035
"2013","41516",9041
"2014","41516",9071
"2015","41516",9213
"2016","41516",9218
"2017","41516",9339
"2018","41516",9371
"2019","41516",9329
"2020","41516",9375
"2021","41516",9413
"2022","41516",9451
"2023","41516",9722
"2024","41516",9787
"2025","41516",9867
"2002","41517",3325
"2003","41517",3270
"2004","41517",3271
"2005","41517",3286
"2006","41517",3299
"2007","41517",3303
"2008","41517",3332
"2009","41517",3359
"2010","41517",3339
"2011","41517",3341
"2012","41517",3302
"2013","41517",3330
"2014","41517",3358
"2015","41517",3340
"2016","41517",3390
"2017","41517",3376
"2018","41517",3367
"2019","41517",3406
"2020","41517",3389
"2021","41517",3370
"2022","41517",3367
"2023","41517",3389
"2024","41517",3375
"2025","41517",3390
"2002","41518",2241
"2003","41518",2219
"2004","41518",2191
"2005","41518",2203
"2006","41518",2223
"2007","41518",2197
"2008","41518",2205
"2009","41518",2201
"2010","41518",2210
"2011","41518",2223
"2012","41518",2238
"2013","41518",2235
"2014","41518",2253
"2015","41518",2258
"2016","41518",2237
"2017","41518",2247
"2018","41518",2242
"2019","41518",2194
"2020","41518",2230
"2021","41518",2238
"2022","41518",2207
"2023","41518",2205
"2024","41518",2216
"2025","41518",2279
"2002","41521",2844
"2003","41521",2832
"2004","41521",2868
"2005","41521",2887
"2006","41521",2897
"2007","41521",2924
"2008","41521",2932
"2009","41521",2974
"2010","41521",2982
"2011","41521",2997
"2012","41521",3022
"2013","41521",2983
"2014","41521",3020
"2015","41521",3041
"2016","41521",3146
"2017","41521",3190
"2018","41521",3173
"2019","41521",3163
"2020","41521",3178
"2021","41521",3202
"2022","41521",3285
"2023","41521",3372
"2024","41521",3384
"2025","41521",3389
"2002","41522",4710
"2003","41522",4685
"2004","41522",4639
"2005","41522",4586
"2006","41522",4522
"2007","41522",4490
"2008","41522",4445
"2009","41522",4367
"2010","41522",4316
"2011","41522",4286
"2012","41522",4225
"2013","41522",4213
"2014","41522",4163
"2015","41522",4161
"2016","41522",4264
"2017","41522",4278
"2018","41522",4258
"2019","41522",4197
"2020","41522",4143
"2021","41522",4068
"2022","41522",4037
"2023","41522",4040
"2024","41522",4028
"2025","41522",3995
"2002","41601",3591
"2003","41601",3599
"2004","41601",3630
"2005","41601",3666
"2006","41601",3747
"2007","41601",3743
"2008","41601",3741
"2009","41601",3808
"2010","41601",3828
"2011","41601",3836
"2012","41601",3869
"2013","41601",3883
"2014","41601",3920
"2015","41601",3948
"2016","41601",3961
"2017","41601",4034
"2018","41601",4083
"2019","41601",4142
"2020","41601",4180
"2021","41601",4214
"2022","41601",4198
"2023","41601",4219
"2024","41601",4223
"2025","41601",4214
"2002","41602",4103
"2003","41602",4126
"2004","41602",4149
"2005","41602",4199
"2006","41602",4209
"2007","41602",4255
"2008","41602",4268
"2009","41602",4246
"2010","41602",4272
"2011","41602",4330
"2012","41602",4405
"2013","41602",4410
"2014","41602",4386
"2015","41602",4467
"2016","41602",4509
