"jahr";"gemnr";"yearmean_pop"
2004;"70301";6490,625
2004;"70302";1986,5
2004;"70303";1372,625
2004;"70304";5330,25
2004;"70305";1083,25
2004;"70306";1177,125
2004;"70307";1081,875
2004;"70308";1130,625
2004;"70309";2014,375
2004;"70310";4027,5
2004;"70311";648,875
2004;"70312";3704,875
2004;"70313";1212,5
2004;"70314";577,375
2004;"70315";1317,25
2004;"70317";441,25
2004;"70318";1082,125
2004;"70319";3275
2004;"70320";2557,625
2004;"70322";1432,25
2004;"70323";726,75
2004;"70325";898,875
2004;"70326";2065,125
2004;"70328";1655,375
2004;"70329";3906,875
2004;"70331";1954,375
2004;"70332";1841,25
2004;"70333";1906,375
2004;"70334";4472,125
2004;"70335";1594,125
2004;"70336";350,25
2004;"70337";2792,375
2004;"70338";884,875
2004;"70339";952,625
2004;"70340";1090,25
2004;"70342";809,625
2004;"70343";852
2004;"70344";1133,125
2004;"70345";1446
2004;"70346";8455
2004;"70347";204,875
2004;"70348";1254,875
2004;"70349";889,125
2004;"70350";994,375
2004;"70351";2998,125
2004;"70352";1375
2004;"70353";1822,25
2004;"70354";11807,375
2004;"70355";3271,625
2004;"70356";1383,625
2004;"70357";13737,5
2004;"70358";3611,125
2004;"70359";1213
2004;"70360";1366,375
2004;"70361";190
2004;"70362";521,875
2004;"70364";6713,625
2004;"70365";4275,25
2004;"70366";705,375
2004;"70367";7461
2004;"70368";784,125
2004;"70369";6663,75
2004;"70401";1229,625
2004;"70402";2595,75
2004;"70403";4276
2004;"70404";1758,25
2004;"70405";1104,5
2004;"70406";5319,375
2004;"70407";1074,625
2004;"70408";1518
2004;"70409";5079,375
2004;"70410";3555
2004;"70411";8457,25
2004;"70412";4156
2004;"70413";1974,625
2004;"70414";1644,25
2004;"70415";654
2004;"70416";8220
2004;"70417";1472
2004;"70418";760,875
2004;"70419";1835,75
2004;"70420";3464,75
2004;"70501";2501,875
2004;"70502";947,75
2004;"70503";2334,375
2004;"70504";1519,125
2004;"70505";3205
2004;"70506";2809,75
2004;"70508";4972,5
2004;"70509";2647,625
2004;"70510";1421,125
2004;"70511";5162,875
2004;"70512";4491,625
2004;"70513";15852,625
2004;"70514";3908,875
2004;"70515";3543,75
2004;"70516";284,625
2004;"70517";2825,5
2004;"70518";2508,875
2004;"70519";667,875
2004;"70520";2150,375
2004;"70521";435,5
2004;"70522";2668,5
2004;"70523";431,125
2004;"70524";1315,5
2004;"70525";2274,875
2004;"70526";3473,125
2004;"70527";2761,25
2004;"70528";1679,5
2004;"70529";1777,25
2004;"70530";4151,875
2004;"70531";11538,25
2004;"70601";270,125
2004;"70602";263
2004;"70603";951,875
2004;"70604";2934,875
2004;"70605";945,875
2004;"70606";831,625
2004;"70607";1303,5
2004;"70608";1722,625
2004;"70609";2625
2004;"70610";343,5
2004;"70611";607,375
2004;"70612";461,875
2004;"70613";532
2004;"70614";7538,375
2004;"70615";1632,75
2004;"70616";1476,625
2004;"70617";2523
2004;"70618";801,25
2004;"70619";1733,875
2004;"70620";1294,75
2004;"70621";2724,875
2004;"70622";1679,625
2004;"70623";1106,875
2004;"70624";1211,625
2004;"70625";142
2004;"70626";630
2004;"70627";1233,25
2004;"70628";529,75
2004;"70629";677,25
2004;"70630";3369,75
2004;"70701";634,25
2004;"70702";996,625
2004;"70703";343,375
2004;"70704";1331,375
2004;"70705";2026,25
2004;"70706";883
2004;"70707";2260,75
2004;"70708";797,125
2004;"70709";801
2004;"70710";986,5
2004;"70711";590,25
2004;"70712";1296,75
2004;"70713";876,75
2004;"70714";271,25
2004;"70715";889
2004;"70716";11959,125
2004;"70717";4915,5
2004;"70718";858,625
2004;"70719";3188,125
2004;"70720";1454,75
2004;"70721";759,75
2004;"70723";1257,375
2004;"70724";979,75
2004;"70725";305,375
2004;"70726";768,75
2004;"70727";502,125
2004;"70728";2074,75
2004;"70729";889
2004;"70731";630,625
2004;"70732";1311,125
2004;"70733";266,125
2004;"70734";2119,25
2004;"70735";1023,25
2004;"70801";689,5
2004;"70802";600,875
2004;"70803";603,125
2004;"70804";846,375
2004;"70805";1579
2004;"70806";769
2004;"70807";2639,25
2004;"70808";832
2004;"70809";393,25
2004;"70810";287,375
2004;"70811";598,375
2004;"70812";60,5
2004;"70813";712,5
2004;"70814";526,375
2004;"70815";92,75
2004;"70816";1268,25
2004;"70817";470,375
2004;"70818";328,875
2004;"70819";86,25
2004;"70820";1953,125
2004;"70821";1062,625
2004;"70822";366,25
2004;"70823";102,125
2004;"70824";444,375
2004;"70825";131
2004;"70826";1149
2004;"70827";420,875
2004;"70828";5756,5
2004;"70829";406,125
2004;"70830";408,375
2004;"70831";722,25
2004;"70832";1085,5
2004;"70833";1636,75
2004;"70834";275
2004;"70835";905,625
2004;"70836";1304,5
2004;"70837";238,25
2004;"70901";2049,875
2004;"70902";1581,375
2004;"70903";347,375
2004;"70904";937,5
2004;"70905";2503,625
2004;"70907";2703,75
2004;"70908";1519,625
2004;"70909";3555,375
2004;"70910";1224,75
2004;"70911";548,25
2004;"70912";789,125
2004;"70913";425
2004;"70914";649,25
2004;"70915";1328,875
2004;"70916";1402,5
2004;"70917";6786
2004;"70918";1171,75
2004;"70920";3862
2004;"70921";1049,875
2004;"70922";1500,5
2004;"70923";1272,375
2004;"70924";414,625
2004;"70925";1303,375
2004;"70926";12375,75
2004;"70927";1441,625
2004;"70928";1883,875
2004;"70929";281,25
2004;"70930";828,25
2004;"70931";1802,5
2004;"70932";773,5
2004;"70933";2042,25
2004;"70934";1945,375
2004;"70935";1568,75
2004;"70936";4411,125
2004;"70937";1481,375
2004;"70938";2237,625
2004;"70939";1837,125
2004;"70940";1824,75
2004;"70941";647,375
2005;"70101";114902,625
2005;"70201";2916,5
2005;"70202";3967,25
2005;"70203";9152,125
2005;"70204";751
2005;"70205";959,375
2005;"70206";585,5
2005;"70207";695,5
2005;"70208";4262
2005;"70209";3063,25
2005;"70210";545,875
2005;"70211";1226,75
2005;"70212";2070,75
2005;"70213";1112,375
2005;"70214";2238,625
2005;"70215";2008,625
2005;"70216";1633,375
2005;"70217";1502,25
2005;"70218";1311,125
2005;"70219";2439,875
2005;"70220";3386,75
2005;"70221";1283,125
2005;"70222";2576,375
2005;"70223";2903,875
2005;"70224";2040,25
