C-A10-0;C-C11-0;C-GRGEMAKT-0;C-GALTEJ112-0;F-ISIS-1
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-22;13
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-23;8
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-24;10
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-25;10
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-26;8
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-27;6
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-28;4
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-29;4
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-30;10
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-31;9
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-32;9
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-33;5
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-34;13
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-35;7
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-36;13
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-37;15
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-38;8
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-39;5
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-40;15
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-41;17
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-42;13
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-43;22
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-44;8
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-45;8
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-46;12
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-47;18
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-48;9
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-49;11
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-50;20
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-51;17
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-52;22
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-53;16
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-54;15
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-55;9
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-56;12
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-57;19
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-58;8
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-59;20
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-60;7
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-61;16
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-62;20
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-63;20
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-64;10
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-65;14
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-66;16
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-67;8
