"jahr","gemnr","gemname","geschl","alter","n","typ"
2025,"70205","Jerzens ","weiblich","15 bis 19 Jahre",27,"Ländlicher Raum"
2025,"70205","Jerzens ","weiblich","20 bis 24 Jahre",19,"Ländlicher Raum"
2025,"70205","Jerzens ","weiblich","25 bis 29 Jahre",19,"Ländlicher Raum"
2025,"70205","Jerzens ","weiblich","30 bis 34 Jahre",29,"Ländlicher Raum"
2025,"70205","Jerzens ","weiblich","35 bis 39 Jahre",30,"Ländlicher Raum"
2025,"70205","Jerzens ","weiblich","40 bis 44 Jahre",30,"Ländlicher Raum"
2025,"70206","Karres ","männlich","bis 4 Jahre",11,"Suburbaner Raum"
2025,"70206","Karres ","männlich","5 bis 9 Jahre",19,"Suburbaner Raum"
2025,"70206","Karres ","männlich","10 bis 14 Jahre",9,"Suburbaner Raum"
2025,"70206","Karres ","männlich","15 bis 19 Jahre",10,"Suburbaner Raum"
2025,"70206","Karres ","männlich","20 bis 24 Jahre",15,"Suburbaner Raum"
2025,"70206","Karres ","männlich","25 bis 29 Jahre",16,"Suburbaner Raum"
2025,"70206","Karres ","männlich","30 bis 34 Jahre",20,"Suburbaner Raum"
2025,"70206","Karres ","männlich","35 bis 39 Jahre",23,"Suburbaner Raum"
2025,"70206","Karres ","männlich","40 bis 44 Jahre",18,"Suburbaner Raum"
2025,"70206","Karres ","weiblich","bis 4 Jahre",14,"Suburbaner Raum"
2025,"70206","Karres ","weiblich","5 bis 9 Jahre",20,"Suburbaner Raum"
2025,"70206","Karres ","weiblich","10 bis 14 Jahre",16,"Suburbaner Raum"
2025,"70206","Karres ","weiblich","15 bis 19 Jahre",20,"Suburbaner Raum"
2025,"70206","Karres ","weiblich","20 bis 24 Jahre",28,"Suburbaner Raum"
2025,"70206","Karres ","weiblich","25 bis 29 Jahre",5,"Suburbaner Raum"
2025,"70206","Karres ","weiblich","30 bis 34 Jahre",20,"Suburbaner Raum"
2025,"70206","Karres ","weiblich","35 bis 39 Jahre",23,"Suburbaner Raum"
2025,"70206","Karres ","weiblich","40 bis 44 Jahre",19,"Suburbaner Raum"
2025,"70207","Karrösten ","männlich","bis 4 Jahre",19,"Suburbaner Raum"
2025,"70207","Karrösten ","männlich","5 bis 9 Jahre",16,"Suburbaner Raum"
2025,"70207","Karrösten ","männlich","10 bis 14 Jahre",16,"Suburbaner Raum"
2025,"70207","Karrösten ","männlich","15 bis 19 Jahre",19,"Suburbaner Raum"
2025,"70207","Karrösten ","männlich","20 bis 24 Jahre",18,"Suburbaner Raum"
2025,"70207","Karrösten ","männlich","25 bis 29 Jahre",13,"Suburbaner Raum"
2025,"70207","Karrösten ","männlich","30 bis 34 Jahre",25,"Suburbaner Raum"
2025,"70207","Karrösten ","männlich","35 bis 39 Jahre",29,"Suburbaner Raum"
2025,"70207","Karrösten ","männlich","40 bis 44 Jahre",33,"Suburbaner Raum"
2025,"70207","Karrösten ","weiblich","bis 4 Jahre",29,"Suburbaner Raum"
2025,"70207","Karrösten ","weiblich","5 bis 9 Jahre",18,"Suburbaner Raum"
2025,"70207","Karrösten ","weiblich","10 bis 14 Jahre",14,"Suburbaner Raum"
2025,"70207","Karrösten ","weiblich","15 bis 19 Jahre",17,"Suburbaner Raum"
2025,"70207","Karrösten ","weiblich","20 bis 24 Jahre",10,"Suburbaner Raum"
2025,"70207","Karrösten ","weiblich","25 bis 29 Jahre",20,"Suburbaner Raum"
2025,"70207","Karrösten ","weiblich","30 bis 34 Jahre",24,"Suburbaner Raum"
2025,"70207","Karrösten ","weiblich","35 bis 39 Jahre",23,"Suburbaner Raum"
2025,"70207","Karrösten ","weiblich","40 bis 44 Jahre",33,"Suburbaner Raum"
2025,"70208","Längenfeld ","männlich","bis 4 Jahre",155,"Ländlicher Raum"
2025,"70208","Längenfeld ","männlich","5 bis 9 Jahre",156,"Ländlicher Raum"
2025,"70208","Längenfeld ","männlich","10 bis 14 Jahre",112,"Ländlicher Raum"
2025,"70208","Längenfeld ","männlich","15 bis 19 Jahre",120,"Ländlicher Raum"
2025,"70208","Längenfeld ","männlich","20 bis 24 Jahre",130,"Ländlicher Raum"
2025,"70208","Längenfeld ","männlich","25 bis 29 Jahre",160,"Ländlicher Raum"
2025,"70208","Längenfeld ","männlich","30 bis 34 Jahre",199,"Ländlicher Raum"
2025,"70208","Längenfeld ","männlich","35 bis 39 Jahre",172,"Ländlicher Raum"
2025,"70208","Längenfeld ","männlich","40 bis 44 Jahre",187,"Ländlicher Raum"
2025,"70208","Längenfeld ","weiblich","bis 4 Jahre",115,"Ländlicher Raum"
2025,"70208","Längenfeld ","weiblich","5 bis 9 Jahre",162,"Ländlicher Raum"
2025,"70208","Längenfeld ","weiblich","10 bis 14 Jahre",118,"Ländlicher Raum"
2025,"70208","Längenfeld ","weiblich","15 bis 19 Jahre",134,"Ländlicher Raum"
2025,"70208","Längenfeld ","weiblich","20 bis 24 Jahre",138,"Ländlicher Raum"
2025,"70208","Längenfeld ","weiblich","25 bis 29 Jahre",161,"Ländlicher Raum"
2025,"70208","Längenfeld ","weiblich","30 bis 34 Jahre",199,"Ländlicher Raum"
2025,"70208","Längenfeld ","weiblich","35 bis 39 Jahre",211,"Ländlicher Raum"
2025,"70208","Längenfeld ","weiblich","40 bis 44 Jahre",168,"Ländlicher Raum"
2025,"70209","Mieming ","männlich","bis 4 Jahre",73,"Ländlicher Raum"
2025,"70209","Mieming ","männlich","5 bis 9 Jahre",98,"Ländlicher Raum"
2025,"70209","Mieming ","männlich","10 bis 14 Jahre",96,"Ländlicher Raum"
2025,"70209","Mieming ","männlich","15 bis 19 Jahre",108,"Ländlicher Raum"
2025,"70209","Mieming ","männlich","20 bis 24 Jahre",99,"Ländlicher Raum"
2025,"70209","Mieming ","männlich","25 bis 29 Jahre",122,"Ländlicher Raum"
2025,"70209","Mieming ","männlich","30 bis 34 Jahre",114,"Ländlicher Raum"
2025,"70209","Mieming ","männlich","35 bis 39 Jahre",115,"Ländlicher Raum"
2025,"70209","Mieming ","männlich","40 bis 44 Jahre",119,"Ländlicher Raum"
2025,"70209","Mieming ","weiblich","bis 4 Jahre",82,"Ländlicher Raum"
2025,"70209","Mieming ","weiblich","5 bis 9 Jahre",100,"Ländlicher Raum"
2025,"70209","Mieming ","weiblich","10 bis 14 Jahre",102,"Ländlicher Raum"
2025,"70209","Mieming ","weiblich","15 bis 19 Jahre",102,"Ländlicher Raum"
2025,"70209","Mieming ","weiblich","20 bis 24 Jahre",96,"Ländlicher Raum"
2025,"70209","Mieming ","weiblich","25 bis 29 Jahre",99,"Ländlicher Raum"
2025,"70209","Mieming ","weiblich","30 bis 34 Jahre",97,"Ländlicher Raum"
2025,"70209","Mieming ","weiblich","35 bis 39 Jahre",129,"Ländlicher Raum"
2025,"70209","Mieming ","weiblich","40 bis 44 Jahre",123,"Ländlicher Raum"
2025,"70210","Mils bei Imst ","männlich","bis 4 Jahre",24,"Ländlicher Raum"
2025,"70210","Mils bei Imst ","männlich","5 bis 9 Jahre",20,"Ländlicher Raum"
2025,"70210","Mils bei Imst ","männlich","10 bis 14 Jahre",14,"Ländlicher Raum"
2025,"70210","Mils bei Imst ","männlich","15 bis 19 Jahre",15,"Ländlicher Raum"
2025,"70210","Mils bei Imst ","männlich","20 bis 24 Jahre",19,"Ländlicher Raum"
2025,"70210","Mils bei Imst ","männlich","25 bis 29 Jahre",23,"Ländlicher Raum"
2025,"70210","Mils bei Imst ","männlich","30 bis 34 Jahre",32,"Ländlicher Raum"
2025,"70210","Mils bei Imst ","männlich","35 bis 39 Jahre",28,"Ländlicher Raum"
2025,"70210","Mils bei Imst ","männlich","40 bis 44 Jahre",18,"Ländlicher Raum"
2025,"70210","Mils bei Imst ","weiblich","bis 4 Jahre",24,"Ländlicher Raum"
2025,"70210","Mils bei Imst ","weiblich","5 bis 9 Jahre",26,"Ländlicher Raum"
2025,"70210","Mils bei Imst ","weiblich","10 bis 14 Jahre",13,"Ländlicher Raum"
2025,"70210","Mils bei Imst ","weiblich","15 bis 19 Jahre",9,"Ländlicher Raum"
2025,"70210","Mils bei Imst ","weiblich","20 bis 24 Jahre",12,"Ländlicher Raum"
2025,"70210","Mils bei Imst ","weiblich","25 bis 29 Jahre",19,"Ländlicher Raum"
2025,"70210","Mils bei Imst ","weiblich","30 bis 34 Jahre",37,"Ländlicher Raum"
