"jahr","gemnr","pop","bi_zu","bi_weg","au_zu","au_weg","bi_saldo","au_saldo","bld"
2012,30631,2133,104,120,17,18,-16,-1,"3"
2013,30631,2112,95,97,14,11,-2,3,"3"
2014,30631,2110,85,92,23,13,-7,10,"3"
2015,30631,2123,99,115,13,22,-16,-9,"3"
2016,30631,2101,100,105,8,10,-5,-2,"3"
2017,30631,2097,94,78,8,7,16,1,"3"
2018,30631,2123,110,135,19,5,-25,14,"3"
2019,30631,2123,118,112,17,5,6,12,"3"
2020,30631,2144,85,92,14,16,-7,-2,"3"
2021,30631,2137,76,105,4,6,-29,-2,"3"
2022,30631,2110,104,104,17,6,0,11,"3"
2023,30631,2118,81,83,9,11,-2,-2,"3"
2002,30633,1274,39,36,9,8,3,1,"3"
2003,30633,1276,50,38,11,12,12,-1,"3"
2004,30633,1277,59,38,16,4,21,12,"3"
2005,30633,1311,63,41,3,6,22,-3,"3"
2006,30633,1336,55,28,2,4,27,-2,"3"
2007,30633,1374,58,64,6,5,-6,1,"3"
2008,30633,1368,46,40,40,35,6,5,"3"
2009,30633,1386,45,60,9,10,-15,-1,"3"
2010,30633,1375,65,52,10,6,13,4,"3"
2011,30633,1388,74,41,5,8,33,-3,"3"
2012,30633,1415,45,48,6,6,-3,0,"3"
2013,30633,1416,48,43,3,2,5,1,"3"
2014,30633,1423,52,46,14,10,6,4,"3"
2015,30633,1436,66,75,26,6,-9,20,"3"
2016,30633,1448,82,72,11,10,10,1,"3"
2017,30633,1463,54,59,12,7,-5,5,"3"
2018,30633,1466,70,38,4,1,32,3,"3"
2019,30633,1499,64,67,3,2,-3,1,"3"
2020,30633,1497,84,58,5,3,26,2,"3"
2021,30633,1529,59,31,3,6,28,-3,"3"
2022,30633,1559,68,58,18,16,10,2,"3"
2023,30633,1566,55,47,4,2,8,2,"3"
2002,30635,1083,49,62,13,9,-13,4,"3"
2003,30635,1063,81,58,37,10,23,27,"3"
2004,30635,1119,64,61,14,29,3,-15,"3"
2005,30635,1118,73,68,26,13,5,13,"3"
2006,30635,1137,54,61,16,9,-7,7,"3"
2007,30635,1136,74,102,58,23,-28,35,"3"
2008,30635,1140,59,83,29,42,-24,-13,"3"
2009,30635,1107,73,74,8,18,-1,-10,"3"
2010,30635,1099,51,61,9,9,-10,0,"3"
2011,30635,1094,68,61,20,11,7,9,"3"
2012,30635,1106,66,78,14,12,-12,2,"3"
2013,30635,1094,49,63,6,17,-14,-11,"3"
2014,30635,1069,68,71,19,12,-3,7,"3"
2015,30635,1069,74,75,14,13,-1,1,"3"
2016,30635,1059,49,54,17,14,-5,3,"3"
2017,30635,1057,50,66,18,5,-16,13,"3"
2018,30635,1050,57,64,10,10,-7,0,"3"
2019,30635,1034,90,72,20,13,18,7,"3"
2020,30635,1060,73,84,9,13,-11,-4,"3"
2021,30635,1042,54,79,16,15,-25,1,"3"
2022,30635,1015,66,61,33,15,5,18,"3"
2023,30635,1044,103,75,13,13,28,0,"3"
2002,30636,1219,52,76,51,49,-24,2,"3"
2003,30636,1204,72,56,44,41,16,3,"3"
2004,30636,1227,64,38,48,50,26,-2,"3"
2005,30636,1256,50,52,50,44,-2,6,"3"
2006,30636,1262,50,57,41,46,-7,-5,"3"
2007,30636,1245,72,57,30,25,15,5,"3"
2008,30636,1261,53,60,48,25,-7,23,"3"
2009,30636,1276,44,46,40,34,-2,6,"3"
2010,30636,1272,102,55,38,36,47,2,"3"
2011,30636,1319,63,62,33,37,1,-4,"3"
2012,30636,1316,79,85,32,23,-6,9,"3"
2013,30636,1330,93,49,29,14,44,15,"3"
2014,30636,1391,75,70,17,23,5,-6,"3"
2015,30636,1402,87,46,21,14,41,7,"3"
2016,30636,1455,75,94,19,20,-19,-1,"3"
2017,30636,1436,84,91,24,15,-7,9,"3"
2018,30636,1439,62,58,22,26,4,-4,"3"
2019,30636,1438,89,61,24,20,28,4,"3"
2020,30636,1474,61,84,14,18,-23,-4,"3"
2021,30636,1440,42,56,13,18,-14,-5,"3"
2022,30636,1423,57,80,27,19,-23,8,"3"
2023,30636,1409,71,44,26,25,27,1,"3"
2002,30637,1352,154,74,20,11,80,9,"3"
2003,30637,1451,132,55,14,6,77,8,"3"
2004,30637,1548,114,71,15,9,43,6,"3"
2005,30637,1602,124,88,13,10,36,3,"3"
2006,30637,1642,113,86,6,8,27,-2,"3"
2007,30637,1679,125,81,15,10,44,5,"3"
2008,30637,1726,112,113,12,19,-1,-7,"3"
2009,30637,1728,86,88,14,10,-2,4,"3"
2010,30637,1736,112,102,10,8,10,2,"3"
2011,30637,1750,87,100,13,5,-13,8,"3"
2012,30637,1739,79,77,19,9,2,10,"3"
2013,30637,1747,76,79,10,9,-3,1,"3"
2014,30637,1744,73,77,21,12,-4,9,"3"
2015,30637,1748,107,93,8,9,14,-1,"3"
2016,30637,1761,159,91,6,9,68,-3,"3"
2017,30637,1821,83,84,12,4,-1,8,"3"
2018,30637,1822,83,109,13,6,-26,7,"3"
2019,30637,1807,84,86,4,8,-2,-4,"3"
2020,30637,1808,96,96,14,16,0,-2,"3"
2021,30637,1805,78,114,16,10,-36,6,"3"
2022,30637,1771,146,104,29,18,42,11,"3"
2023,30637,1819,164,94,16,15,70,1,"3"
2002,30639,14928,857,609,252,147,248,105,"3"
2003,30639,15333,807,676,204,132,131,72,"3"
2004,30639,15560,712,646,280,134,66,146,"3"
2005,30639,15808,866,637,247,144,229,103,"3"
2006,30639,16185,815,747,336,129,68,207,"3"
2007,30639,16504,919,1194,623,221,-275,402,"3"
2008,30639,16645,1056,1578,1237,257,-522,980,"3"
2009,30639,17150,861,1733,1241,383,-872,858,"3"
2010,30639,17177,851,1126,555,314,-275,241,"3"
2011,30639,17150,881,1548,1085,236,-667,849,"3"
2012,30639,17372,873,2394,2104,294,-1521,1810,"3"
2013,30639,17737,854,1596,1063,290,-742,773,"3"
2014,30639,17634,1151,2408,2179,302,-1257,1877,"3"
2015,30639,18336,1053,3890,3417,383,-2837,3034,"3"
2016,30639,18585,1016,2306,1680,247,-1290,1433,"3"
2017,30639,18784,939,1557,968,313,-618,655,"3"
2018,30639,18858,998,1378,873,348,-380,525,"3"
2019,30639,18937,856,1577,899,369,-721,530,"3"
2020,30639,18758,1237,1948,985,274,-711,711,"3"
2021,30639,18774,860,1814,1177,228,-954,949,"3"
2022,30639,18761,849,1696,1474,222,-847,1252,"3"
2023,30639,19150,887,2330,1928,391,-1443,1537,"3"
2002,30641,2515,164,142,32,11,22,21,"3"
2003,30641,2557,114,87,22,6,27,16,"3"
2004,30641,2615,125,124,25,7,1,18,"3"
2005,30641,2630,216,104,20,18,112,2,"3"
2006,30641,2742,134,111,12,10,23,2,"3"
2007,30641,2763,221,124,10,10,97,0,"3"
2008,30641,2866,231,116,18,15,115,3,"3"
2009,30641,2994,284,120,54,15,164,39,"3"
2010,30641,3213,174,111,75,39,63,36,"3"
2011,30641,3330,238,138,63,50,100,13,"3"
2012,30641,3465,155,155,63,74,0,-11,"3"
2013,30641,3475,171,151,69,63,20,6,"3"
2014,30641,3520,187,160,64,41,27,23,"3"
2015,30641,3580,175,171,66,49,4,17,"3"
2016,30641,3629,177,147,64,77,30,-13,"3"
2017,30641,3668,192,203,50,72,-11,-22,"3"
2018,30641,3640,194,150,75,51,44,24,"3"
2019,30641,3712,142,164,60,64,-22,-4,"3"
2020,30641,3709,161,144,45,52,17,-7,"3"
2021,30641,3718,171,136,52,54,35,-2,"3"
2022,30641,3753,115,144,71,36,-29,35,"3"
2023,30641,3757,110,152,66,40,-42,26,"3"
2002,30645,1655,85,97,26,10,-12,16,"3"
2003,30645,1662,145,97,24,6,48,18,"3"
2004,30645,1725,89,162,37,16,-73,21,"3"
2005,30645,1680,100,103,10,14,-3,-4,"3"
2006,30645,1679,142,113,21,10,29,11,"3"
2007,30645,1711,113,104,20,21,9,-1,"3"
2008,30645,1726,118,121,13,11,-3,2,"3"
2009,30645,1731,97,117,21,16,-20,5,"3"
2010,30645,1716,113,101,16,9,12,7,"3"
2011,30645,1737,100,109,20,18,-9,2,"3"
2012,30645,1738,101,106,27,23,-5,4,"3"
2013,30645,1734,77,77,21,16,0,5,"3"
2014,30645,1733,98,118,29,23,-20,6,"3"
2015,30645,1725,124,127,35,16,-3,19,"3"
2016,30645,1741,90,100,17,7,-10,10,"3"
2017,30645,1739,101,106,13,12,-5,1,"3"
2018,30645,1727,99,86,13,13,13,0,"3"
2019,30645,1739,62,91,15,18,-29,-3,"3"
2020,30645,1703,91,89,19,9,2,10,"3"
2021,30645,1723,89,66,14,15,23,-1,"3"
2022,30645,1744,82,116,53,21,-34,32,"3"
2023,30645,1746,77,110,19,30,-33,-11,"3"
2002,30646,1666,142,116,17,11,26,6,"3"
2003,30646,1701,122,110,27,10,12,17,"3"
2004,30646,1735,115,127,16,19,-12,-3,"3"
2005,30646,1717,128,132,7,10,-4,-3,"3"
2006,30646,1712,158,106,8,7,52,1,"3"
2007,30646,1769,189,144,18,18,45,0,"3"
2008,30646,1824,110,140,12,10,-30,2,"3"
2009,30646,1796,108,136,22,8,-28,14,"3"
2010,30646,1797,84,99,22,6,-15,16,"3"
2011,30646,1797,121,127,27,10,-6,17,"3"
2012,30646,1806,123,149,20,20,-26,0,"3"
2013,30646,1783,146,133,13,2,13,11,"3"
2014,30646,1812,107,117,17,9,-10,8,"3"
2015,30646,1828,123,124,17,13,-1,4,"3"
2016,30646,1828,156,137,18,13,19,5,"3"
2017,30646,1854,124,143,13,6,-19,7,"3"
2018,30646,1840,135,141,14,11,-6,3,"3"
2019,30646,1841,146,136,11,15,10,-4,"3"
2020,30646,1849,158,122,17,8,36,9,"3"
2021,30646,1891,160,136,16,9,24,7,"3"
2022,30646,1927,147,152,29,13,-5,16,"3"
2023,30646,1945,131,129,23,24,2,-1,"3"
2002,30701,909,15,11,1,3,4,-2,"3"
2003,30701,907,11,8,2,2,3,0,"3"
2004,30701,909,16,16,0,0,0,0,"3"
2005,30701,905,23,17,1,0,6,1,"3"
2006,30701,906,16,29,7,0,-13,7,"3"
2007,30701,900,34,21,1,5,13,-4,"3"
2008,30701,904,28,26,2,0,2,2,"3"
2009,30701,905,25,29,0,4,-4,-4,"3"
2010,30701,896,20,19,0,1,1,-1,"3"
2011,30701,901,41,19,3,2,22,1,"3"
2012,30701,921,30,36,2,1,-6,1,"3"
2013,30701,916,39,44,2,0,-5,2,"3"
2014,30701,908,17,17,1,0,0,1,"3"
2015,30701,908,57,18,2,2,39,0,"3"
2016,30701,945,21,28,7,5,-7,2,"3"
2017,30701,934,31,34,8,2,-3,6,"3"
2018,30701,934,22,21,3,3,1,0,"3"
2019,30701,938,43,40,5,1,3,4,"3"
2020,30701,948,21,26,5,1,-5,4,"3"
2021,30701,951,26,28,9,4,-2,5,"3"
2022,30701,953,30,26,20,11,4,9,"3"
2023,30701,968,36,38,14,17,-2,-3,"3"
2002,30702,1365,72,74,14,9,-2,5,"3"
2003,30702,1363,91,78,16,11,13,5,"3"
2004,30702,1378,71,75,13,8,-4,5,"3"
2005,30702,1368,69,65,12,6,4,6,"3"
2006,30702,1379,107,77,12,7,30,5,"3"
2007,30702,1411,70,78,13,6,-8,7,"3"
2008,30702,1403,79,64,20,16,15,4,"3"
2009,30702,1424,75,68,18,14,7,4,"3"
2010,30702,1435,67,72,16,13,-5,3,"3"
2011,30702,1436,58,78,18,13,-20,5,"3"
2012,30702,1424,86,93,24,10,-7,14,"3"
2013,30702,1429,101,56,30,9,45,21,"3"
2014,30702,1495,111,77,24,12,34,12,"3"
2015,30702,1540,117,87,67,9,30,58,"3"
2016,30702,1629,160,103,82,25,57,57,"3"
2017,30702,1747,95,103,44,20,-8,24,"3"
2018,30702,1765,98,93,33,19,5,14,"3"
2019,30702,1772,110,111,34,24,-1,10,"3"
2020,30702,1785,182,81,36,14,101,22,"3"
2021,30702,1906,125,90,26,23,35,3,"3"
2022,30702,1946,102,89,44,27,13,17,"3"
2023,30702,1979,100,110,23,27,-10,-4,"3"
2002,30703,676,14,29,4,4,-15,0,"3"
2003,30703,658,17,14,3,2,3,1,"3"
2004,30703,661,24,12,8,10,12,-2,"3"
2005,30703,670,25,16,7,2,9,5,"3"
2006,30703,683,24,21,9,5,3,4,"3"
2007,30703,689,34,26,13,5,8,8,"3"
2008,30703,706,13,23,11,4,-10,7,"3"
2009,30703,703,30,28,34,2,2,32,"3"
2010,30703,733,22,21,18,4,1,14,"3"
2011,30703,749,23,37,8,7,-14,1,"3"
2012,30703,731,27,17,15,9,10,6,"3"
2013,30703,752,29,34,29,14,-5,15,"3"
2014,30703,757,33,24,26,13,9,13,"3"
2015,30703,783,29,34,93,7,-5,86,"3"
2016,30703,867,75,166,83,25,-91,58,"3"
2017,30703,840,29,26,35,11,3,24,"3"
2018,30703,861,18,24,42,12,-6,30,"3"
2019,30703,887,17,19,41,17,-2,24,"3"
2020,30703,905,34,45,38,16,-11,22,"3"
2021,30703,914,27,13,37,15,14,22,"3"
2022,30703,956,32,31,42,16,1,26,"3"
2023,30703,982,29,35,20,22,-6,-2,"3"
2002,30704,7352,302,271,65,59,31,6,"3"
2003,30704,7371,351,292,69,41,59,28,"3"
2004,30704,7409,422,271,85,47,151,38,"3"
2005,30704,7552,398,334,54,45,64,9,"3"
2006,30704,7583,308,284,57,49,24,8,"3"
2007,30704,7583,376,359,90,60,17,30,"3"
2008,30704,7616,309,258,68,66,51,2,"3"
2009,30704,7637,338,291,84,62,47,22,"3"
2010,30704,7661,342,336,86,53,6,33,"3"
2011,30704,7666,352,330,88,75,22,13,"3"
2012,30704,7648,326,318,124,73,8,51,"3"
2013,30704,7670,352,352,115,51,0,64,"3"
2014,30704,7698,362,351,96,58,11,38,"3"
2015,30704,7705,406,310,197,76,96,121,"3"
2016,30704,7887,603,471,139,123,132,16,"3"
2017,30704,8002,485,490,128,97,-5,31,"3"
2018,30704,7988,481,415,113,76,66,37,"3"
2019,30704,8037,518,468,107,113,50,-6,"3"
2020,30704,8036,556,430,104,79,126,25,"3"
2021,30704,8153,529,468,113,90,61,23,"3"
2022,30704,8186,681,470,136,101,211,35,"3"
2023,30704,8395,603,419,97,93,184,4,"3"
2002,30706,2739,106,94,13,26,12,-13,"3"
2003,30706,2737,114,83,25,5,31,20,"3"
2004,30706,2784,116,100,22,11,16,11,"3"
2005,30706,2819,125,95,20,16,30,4,"3"
2006,30706,2849,157,114,14,8,43,6,"3"
2007,30706,2898,136,100,23,12,36,11,"3"
2008,30706,2941,146,131,22,14,15,8,"3"
2009,30706,2952,112,146,23,12,-34,11,"3"
2010,30706,2929,130,102,19,20,28,-1,"3"
2011,30706,2950,118,116,23,14,2,9,"3"
2012,30706,2968,134,120,26,21,14,5,"3"
2013,30706,2985,185,140,28,23,45,5,"3"
2014,30706,3043,130,117,31,24,13,7,"3"
2015,30706,3068,140,130,40,20,10,20,"3"
2016,30706,3111,143,160,39,29,-17,10,"3"
2017,30706,3095,178,129,46,33,49,13,"3"
2018,30706,3163,214,149,38,34,65,4,"3"
2019,30706,3239,212,137,38,21,75,17,"3"
2020,30706,3336,222,157,25,13,65,12,"3"
2021,30706,3422,191,127,26,30,64,-4,"3"
2022,30706,3491,228,155,45,25,73,20,"3"
2023,30706,3584,175,157,18,37,18,-19,"3"
2002,30708,1316,52,30,5,8,22,-3,"3"
2003,30708,1336,39,29,5,4,10,1,"3"
2004,30708,1349,44,40,22,8,4,14,"3"
2005,30708,1359,36,39,9,3,-3,6,"3"
2006,30708,1358,43,37,4,3,6,1,"3"
2007,30708,1365,29,41,3,2,-12,1,"3"
2008,30708,1351,47,34,11,7,13,4,"3"
2009,30708,1367,33,35,12,3,-2,9,"3"
2010,30708,1381,49,46,12,8,3,4,"3"
2011,30708,1389,45,45,7,11,0,-4,"3"
2012,30708,1384,31,37,12,6,-6,6,"3"
2013,30708,1381,44,48,8,7,-4,1,"3"
2014,30708,1381,43,44,16,3,-1,13,"3"
2015,30708,1395,68,57,11,16,11,-5,"3"
2016,30708,1401,40,56,8,8,-16,0,"3"
2017,30708,1382,56,32,9,8,24,1,"3"
2018,30708,1411,47,40,8,8,7,0,"3"
2019,30708,1424,53,35,13,8,18,5,"3"
2020,30708,1447,51,50,10,6,1,4,"3"
2021,30708,1450,46,40,5,12,6,-7,"3"
2022,30708,1449,53,33,11,3,20,8,"3"
2023,30708,1480,36,48,4,8,-12,-4,"3"
2002,30709,1880,59,84,8,14,-25,-6,"3"
2003,30709,1854,82,64,26,19,18,7,"3"
2004,30709,1878,86,71,24,4,15,20,"3"
2005,30709,1910,100,71,23,13,29,10,"3"
2006,30709,1961,81,82,17,14,-1,3,"3"
2007,30709,1964,92,102,28,20,-10,8,"3"
2008,30709,1966,109,122,12,13,-13,-1,"3"
2009,30709,1956,163,96,19,11,67,8,"3"
2010,30709,2027,79,68,16,21,11,-5,"3"
2011,30709,2040,83,92,37,17,-9,20,"3"
2012,30709,2049,90,102,41,29,-12,12,"3"
2013,30709,2060,92,94,22,25,-2,-3,"3"
2014,30709,2060,96,82,28,11,14,17,"3"
2015,30709,2085,99,79,29,13,20,16,"3"
2016,30709,2117,64,114,21,20,-50,1,"3"
2017,30709,2075,79,76,15,18,3,-3,"3"
2018,30709,2062,97,99,22,7,-2,15,"3"
2019,30709,2088,124,102,16,23,22,-7,"3"
2020,30709,2108,119,93,30,16,26,14,"3"
2021,30709,2147,116,93,23,18,23,5,"3"
2022,30709,2188,126,79,23,22,47,1,"3"
2023,30709,2234,71,84,20,13,-13,7,"3"
2002,30710,5652,240,228,55,29,12,26,"3"
2003,30710,5619,245,261,57,46,-16,11,"3"
2004,30710,5580,286,239,93,45,47,48,"3"
2005,30710,5625,265,193,78,41,72,37,"3"
2006,30710,5695,241,223,58,37,18,21,"3"
2007,30710,5706,250,277,85,51,-27,34,"3"
2008,30710,5666,302,275,188,67,27,121,"3"
2009,30710,5787,235,240,174,64,-5,110,"3"
2010,30710,5881,269,229,185,130,40,55,"3"
2011,30710,5941,220,289,169,110,-69,59,"3"
2012,30710,5919,218,216,236,93,2,143,"3"
2013,30710,6066,206,215,204,139,-9,65,"3"
2014,30710,6106,273,291,246,110,-18,136,"3"
2015,30710,6217,242,315,369,126,-73,243,"3"
2016,30710,6382,342,329,280,157,13,123,"3"
2017,30710,6519,261,327,241,133,-66,108,"3"
2018,30710,6570,347,316,299,141,31,158,"3"
2019,30710,6725,293,259,239,144,34,95,"3"
2020,30710,6837,283,252,267,137,31,130,"3"
2021,30710,6975,245,260,167,194,-15,-27,"3"
2022,30710,6892,287,287,264,140,0,124,"3"
2023,30710,6982,281,291,231,131,-10,100,"3"
2002,30711,1310,120,51,5,9,69,-4,"3"
2003,30711,1380,146,51,7,5,95,2,"3"
2004,30711,1471,111,52,8,3,59,5,"3"
2005,30711,1537,146,41,4,4,105,0,"3"
2006,30711,1655,112,48,7,4,64,3,"3"
2007,30711,1734,138,55,7,3,83,4,"3"
2008,30711,1821,77,62,17,9,15,8,"3"
2009,30711,1853,56,67,22,9,-11,13,"3"
2010,30711,1854,61,80,13,6,-19,7,"3"
2011,30711,1851,64,72,12,4,-8,8,"3"
2012,30711,1854,67,50,9,5,17,4,"3"
2013,30711,1873,86,71,11,2,15,9,"3"
2014,30711,1908,97,79,15,5,18,10,"3"
2015,30711,1935,76,78,17,6,-2,11,"3"
2016,30711,1942,101,103,16,8,-2,8,"3"
2017,30711,1953,101,67,18,7,34,11,"3"
2018,30711,2004,79,83,11,10,-4,1,"3"
2019,30711,2005,90,83,11,4,7,7,"3"
2020,30711,2012,99,73,14,10,26,4,"3"
2021,30711,2035,69,95,9,16,-26,-7,"3"
2022,30711,2008,84,104,21,7,-20,14,"3"
2023,30711,1995,85,50,17,12,35,5,"3"
2002,30712,1135,23,42,6,5,-19,1,"3"
2003,30712,1122,45,31,1,9,14,-8,"3"
2004,30712,1131,36,39,9,4,-3,5,"3"
2005,30712,1139,34,42,7,4,-8,3,"3"
2006,30712,1139,38,36,7,1,2,6,"3"
2007,30712,1143,38,21,2,2,17,0,"3"
2008,30712,1157,55,41,3,4,14,-1,"3"
2009,30712,1173,37,29,6,3,8,3,"3"
2010,30712,1192,46,45,3,2,1,1,"3"
2011,30712,1188,43,29,6,2,14,4,"3"
2012,30712,1210,44,36,7,12,8,-5,"3"
2013,30712,1215,28,39,4,2,-11,2,"3"
2014,30712,1208,37,34,6,2,3,4,"3"
2015,30712,1215,39,24,4,0,15,4,"3"
2016,30712,1240,29,48,7,2,-19,5,"3"
2017,30712,1229,35,34,8,5,1,3,"3"
2018,30712,1234,50,44,6,3,6,3,"3"
2019,30712,1240,37,30,2,4,7,-2,"3"
2020,30712,1250,22,37,2,3,-15,-1,"3"
2021,30712,1232,40,51,1,5,-11,-4,"3"
2022,30712,1212,41,43,18,13,-2,5,"3"
2023,30712,1219,36,35,1,3,1,-2,"3"
2002,30713,1378,37,33,8,4,4,4,"3"
2003,30713,1380,24,32,7,5,-8,2,"3"
2004,30713,1375,62,28,11,2,34,9,"3"
2005,30713,1411,34,23,4,4,11,0,"3"
2006,30713,1431,17,37,4,10,-20,-6,"3"
2007,30713,1406,33,44,10,4,-11,6,"3"
2008,30713,1402,60,45,7,4,15,3,"3"
2009,30713,1420,50,39,9,3,11,6,"3"
2010,30713,1445,50,33,9,3,17,6,"3"
2011,30713,1464,49,30,6,11,19,-5,"3"
2012,30713,1476,44,51,10,1,-7,9,"3"
2013,30713,1476,50,24,6,6,26,0,"3"
2014,30713,1499,37,29,14,5,8,9,"3"
2015,30713,1513,59,69,38,8,-10,30,"3"
2016,30713,1525,71,61,17,6,10,11,"3"
2017,30713,1548,65,80,20,10,-15,10,"3"
2018,30713,1549,44,54,13,8,-10,5,"3"
2019,30713,1541,54,50,16,9,4,7,"3"
2020,30713,1550,70,50,24,7,20,17,"3"
2021,30713,1592,65,53,22,15,12,7,"3"
2022,30713,1607,92,72,30,25,20,5,"3"
2023,30713,1629,103,50,18,10,53,8,"3"
2002,30715,552,24,13,8,3,11,5,"3"
2003,30715,566,25,24,2,3,1,-1,"3"
2004,30715,565,25,24,12,11,1,1,"3"
2005,30715,565,17,14,9,1,3,8,"3"
2006,30715,580,20,15,11,5,5,6,"3"
2007,30715,593,21,29,14,17,-8,-3,"3"
2008,30715,583,40,23,7,3,17,4,"3"
2009,30715,603,17,10,9,4,7,5,"3"
2010,30715,617,6,19,8,5,-13,3,"3"
2011,30715,600,11,14,5,1,-3,4,"3"
2012,30715,602,19,18,14,4,1,10,"3"
2013,30715,614,16,26,9,7,-10,2,"3"
2014,30715,599,19,39,5,7,-20,-2,"3"
2015,30715,574,21,12,8,1,9,7,"3"
2016,30715,585,21,18,2,2,3,0,"3"
2017,30715,584,18,14,7,2,4,5,"3"
2018,30715,590,37,24,2,3,13,-1,"3"
2019,30715,598,37,11,7,4,26,3,"3"
2020,30715,627,17,10,6,5,7,1,"3"
2021,30715,641,11,17,5,4,-6,1,"3"
2022,30715,636,34,19,3,3,15,0,"3"
2023,30715,650,25,8,6,4,17,2,"3"
2002,30716,3705,112,139,47,17,-27,30,"3"
2003,30716,3712,100,111,42,6,-11,36,"3"
2004,30716,3731,111,106,16,1,5,15,"3"
2005,30716,3748,140,130,17,8,10,9,"3"
2006,30716,3760,120,133,27,21,-13,6,"3"
2007,30716,3763,137,122,30,10,15,20,"3"
2008,30716,3782,147,131,28,15,16,13,"3"
2009,30716,3795,120,143,21,16,-23,5,"3"
2010,30716,3767,127,138,51,17,-11,34,"3"
2011,30716,3782,151,134,51,13,17,38,"3"
2012,30716,3827,163,158,52,29,5,23,"3"
2013,30716,3851,160,147,47,23,13,24,"3"
2014,30716,3887,192,167,81,27,25,54,"3"
2015,30716,3958,164,161,90,43,3,47,"3"
2016,30716,3992,188,137,50,28,51,22,"3"
2017,30716,4081,195,204,45,51,-9,-6,"3"
2018,30716,4069,183,150,74,34,33,40,"3"
2019,30716,4132,190,186,58,67,4,-9,"3"
2020,30716,4138,150,179,45,34,-29,11,"3"
2021,30716,4110,186,146,43,39,40,4,"3"
2022,30716,4150,213,203,108,52,10,56,"3"
2023,30716,4219,189,186,63,45,3,18,"3"
2002,30718,1170,55,30,3,1,25,2,"3"
2003,30718,1196,38,51,7,8,-13,-1,"3"
2004,30718,1179,38,27,8,9,11,-1,"3"
2005,30718,1191,50,38,5,3,12,2,"3"
2006,30718,1203,32,39,10,3,-7,7,"3"
2007,30718,1193,47,39,11,0,8,11,"3"
2008,30718,1209,38,45,7,5,-7,2,"3"
2009,30718,1197,46,62,4,2,-16,2,"3"
2010,30718,1179,45,41,6,2,4,4,"3"
2011,30718,1187,51,42,15,3,9,12,"3"
2012,30718,1205,74,49,20,12,25,8,"3"
2013,30718,1240,49,66,8,7,-17,1,"3"
2014,30718,1213,51,40,12,4,11,8,"3"
2015,30718,1231,46,49,32,6,-3,26,"3"
2016,30718,1254,48,38,11,1,10,10,"3"
2017,30718,1275,41,60,10,13,-19,-3,"3"
2018,30718,1245,54,52,13,8,2,5,"3"
2019,30718,1248,62,47,3,5,15,-2,"3"
2020,30718,1263,62,60,6,0,2,6,"3"
2021,30718,1269,59,46,7,3,13,4,"3"
2022,30718,1285,41,53,18,10,-12,8,"3"
2023,30718,1280,49,58,2,2,-9,0,"3"
2002,30719,1294,63,40,10,2,23,8,"3"
2003,30719,1319,39,40,10,2,-1,8,"3"
2004,30719,1326,56,44,10,11,12,-1,"3"
2005,30719,1330,56,35,1,5,21,-4,"3"
2006,30719,1337,40,32,2,1,8,1,"3"
2007,30719,1341,65,37,13,2,28,11,"3"
2008,30719,1377,45,51,10,11,-6,-1,"3"
2009,30719,1365,50,45,10,10,5,0,"3"
2010,30719,1361,56,43,29,5,13,24,"3"
2011,30719,1395,79,44,21,5,35,16,"3"
2012,30719,1449,61,47,24,13,14,11,"3"
2013,30719,1479,36,56,11,8,-20,3,"3"
2014,30719,1460,67,46,25,8,21,17,"3"
2015,30719,1490,77,41,21,12,36,9,"3"
2016,30719,1539,53,51,21,11,2,10,"3"
2017,30719,1557,49,44,25,14,5,11,"3"
2018,30719,1577,61,51,34,13,10,21,"3"
2019,30719,1606,53,56,25,9,-3,16,"3"
2020,30719,1618,60,60,9,4,0,5,"3"
2021,30719,1620,90,59,14,9,31,5,"3"
2022,30719,1658,67,61,31,21,6,10,"3"
2023,30719,1671,74,54,25,17,20,8,"3"
2002,30721,1451,76,43,14,12,33,2,"3"
2003,30721,1479,67,49,5,18,18,-13,"3"
2004,30721,1486,97,59,19,10,38,9,"3"
2005,30721,1530,73,66,9,6,7,3,"3"
2006,30721,1535,69,55,17,2,14,15,"3"
2007,30721,1567,70,76,8,20,-6,-12,"3"
2008,30721,1546,69,54,16,10,15,6,"3"
2009,30721,1565,48,55,17,21,-7,-4,"3"
2010,30721,1549,51,58,10,15,-7,-5,"3"
2011,30721,1540,61,51,11,16,10,-5,"3"
2012,30721,1548,81,89,14,21,-8,-7,"3"
2013,30721,1534,94,54,18,14,40,4,"3"
2014,30721,1569,55,59,6,15,-4,-9,"3"
2015,30721,1569,75,53,21,3,22,18,"3"
2016,30721,1609,80,90,10,10,-10,0,"3"
2017,30721,1604,90,91,16,10,-1,6,"3"
2018,30721,1609,77,79,16,7,-2,9,"3"
2019,30721,1600,72,53,9,13,19,-4,"3"
2020,30721,1614,77,60,18,12,17,6,"3"
2021,30721,1639,90,54,19,22,36,-3,"3"
2022,30721,1665,59,75,30,12,-16,18,"3"
2023,30721,1667,79,68,7,17,11,-10,"3"
2002,30722,1077,42,40,19,14,2,5,"3"
2003,30722,1079,35,34,10,5,1,5,"3"
2004,30722,1084,35,34,5,23,1,-18,"3"
2005,30722,1055,42,31,8,6,11,2,"3"
2006,30722,1063,47,16,2,12,31,-10,"3"
