jahr;gemnr;n
2004;Wimpassing an der Leitha <10318>;1124,25
2004;Wulkaprodersdorf <10319>;1885,375
2004;Loretto <10320>;372,75
2004;Stotzing <10321>;799,5
2004;Zillingtal <10322>;888,875
2004;Zagersdorf <10323>;920,75
2004;Bocksdorf <10401>;770,125
2004;Burgauberg-Neudauberg <10402>;1341,625
2004;Eberau <10403>;961,75
2004;Gerersdorf-Sulz <10404>;1056,75
2004;Güssing <10405>;3829
2004;Güttenbach <10406>;966,375
2004;Heiligenbrunn <10407>;911,25
2004;Kukmirn <10408>;1966,75
2004;Neuberg im Burgenland <10409>;1015,625
2004;Neustift bei Güssing <10410>;536,125
2004;Olbendorf <10411>;1360,375
2004;Ollersdorf im Burgenland <10412>;989,625
2004;Sankt Michael im Burgenland <10413>;1059,75
2004;Stegersbach <10414>;2404,125
2004;Stinatz <10415>;1423,625
2004;Strem <10416>;901,25
2004;Tobaj <10417>;1408,5
2004;Hackerberg <10418>;360,25
2004;Wörterberg <10419>;477,875
2004;Großmürbisch <10420>;261,5
2004;Inzenhof <10421>;316
2004;Kleinmürbisch <10422>;255,375
2004;Tschanigraben <10423>;69,25
2004;Heugraben <10424>;247,875
2004;Rohr im Burgenland <10425>;386,125
2004;Bildein <10426>;328
2004;Rauchwart <10427>;460,25
2004;Moschendorf <10428>;435,25
2004;Deutsch Kaltenbrunn <10501>;1757,75
2004;Eltendorf <10502>;1012,625
2004;Heiligenkreuz im Lafnitztal <10503>;1226
2004;Jennersdorf <10504>;4215,125
2004;Minihof-Liebau <10505>;1155,125
2004;Mogersdorf <10506>;1190,125
2004;Neuhaus am Klausenbach <10507>;992,125
2004;Rudersdorf <10508>;2157,375
2004;Sankt Martin an der Raab <10509>;2071,5
2004;Weichselbaum <10510>;777,75
2004;Königsdorf <10511>;739,25
2004;Mühlgraben <10512>;422,375
2004;Draßburg <10601>;1054
2004;Forchtenstein <10602>;2765,5
2004;Hirm <10603>;905,125
2004;Loipersbach im Burgenland <10604>;1254
2004;Marz <10605>;1958,625
2004;Mattersburg <10606>;6494,75
2004;Neudörfl <10607>;4123,25
2004;Pöttelsdorf <10608>;649,125
2004;Pöttsching <10609>;2784,5
2004;Rohrbach bei Mattersburg <10610>;2703,125
2004;Bad Sauerbrunn <10611>;1942,375
2004;Schattendorf <10612>;2444,5
2004;Sieggraben <10613>;1286,875
2004;Sigleß <10614>;1119,125
2004;Wiesen <10615>;2782,75
2004;Antau <10616>;716,25
2004;Baumgarten <10617>;878,75
2004;Zemendorf-Stöttera <10618>;1242,875
2004;Krensdorf <10619>;608,5
2004;Andau <10701>;2452,625
2004;Apetlon <10702>;1851,875
2004;Bruckneudorf <10703>;2795,75
2004;Deutsch Jahrndorf <10704>;544,75
2004;Frauenkirchen <10705>;2818,625
2004;Gattendorf <10706>;1113,375
2004;Gols <10707>;3547,375
2004;Halbturn <10708>;1868,5
2004;Illmitz <10709>;2502,125
2004;Jois <10710>;1331,75
2004;Kittsee <10711>;1862,5
2004;Mönchhof <10712>;2251,125
2004;Neusiedl am See <10713>;5753,25
2004;Nickelsdorf <10714>;1541,25
2004;Pama <10715>;1026
2004;Pamhagen <10716>;1750,75
2004;Parndorf <10717>;3574,625
2004;Podersdorf am See <10718>;2019,375
2004;Sankt Andrä am Zicksee <10719>;1374,875
2004;Tadten <10720>;1290
2004;Wallern im Burgenland <10721>;1929,5
2004;Weiden am See <10722>;1969,5
2004;Winden am See <10723>;1110
2004;Zurndorf <10724>;1977,125
2004;Neudorf <10725>;703,75
2004;Potzneusiedl <10726>;491
2004;Edelstal <10727>;593,25
2004;Deutschkreutz <10801>;3170,875
2004;Draßmarkt <10802>;1387,25
2004;Frankenau-Unterpullendorf <10803>;1228,875
2004;Großwarasdorf <10804>;1554,125
2004;Horitschon <10805>;1982,75
2004;Kaisersdorf <10806>;539,125
2004;Kobersdorf <10807>;1857
2004;Lackenbach <10808>;1080,25
2004;Lockenhaus <10809>;1977,375
2004;Lutzmannsburg <10810>;879,5
2004;Mannersdorf an der Rabnitz <10811>;1851,5
2004;Markt Sankt Martin <10812>;1178,5
2004;Neckenmarkt <10813>;1699,375
2004;Neutal <10814>;1025,625
2004;Nikitsch <10815>;1496,5
2004;Oberpullendorf <10816>;2856,125
2004;Pilgersdorf <10817>;1690,375
2004;Piringsdorf <10818>;887,375
2004;Raiding <10819>;832
2004;Ritzing <10820>;892,375
2004;Steinberg-Dörfl <10821>;1214,5
2004;Stoob <10822>;1398,875
2004;Weppersdorf <10823>;1794,25
2004;Lackendorf <10824>;582,5
2004;Unterfrauenhaid <10825>;697,5
2004;Unterrabnitz-Schwendgraben <10826>;632,125
2004;Weingraben <10827>;387,625
2004;Oberloisdorf <10828>;804,25
2004;Bad Tatzmannsdorf <10901>;1295,5
2004;Bernstein <10902>;2305
2004;Deutsch Schützen-Eisenberg <10903>;1132,75
2004;Grafenschachen <10904>;1212,375
2004;Großpetersdorf <10905>;3585,875
2004;Hannersdorf <10906>;819,875
2004;Kemeten <10907>;1533,375
2004;Kohfidisch <10908>;1436,625
2004;Litzelsdorf <10909>;1157
2004;Loipersdorf-Kitzladen <10910>;1243,5
2004;Mariasdorf <10911>;1240,625
2004;Markt Allhau <10912>;1768,5
2004;Markt Neuhodis <10913>;727
2004;Mischendorf <10914>;1760,625
2004;Oberdorf im Burgenland <10915>;1076,125
2004;Oberschützen <10916>;2255
2004;Oberwart <10917>;6768
2004;Pinkafeld <10918>;5243,375
2004;Rechnitz <10919>;3147,25
2004;Riedlingsdorf <10920>;1640,125
2004;Rotenturm an der Pinka <10921>;1404
2004;Schachendorf <10922>;790
2004;Stadtschlaining <10923>;2057,625
2004;Unterkohlstätten <10924>;1079,375
2004;Unterwart <10925>;926,625
2004;Weiden bei Rechnitz <10926>;896,875
2004;Wiesfleck <10927>;1161,25
2004;Wolfau <10928>;1329,75
2004;Neustift an der Lafnitz <10929>;665,75
2004;Jabing <10930>;731,125
2004;Badersdorf <10931>;323
2004;Schandorf <10932>;294,5
2005;Eisenstadt <10101>;12096,25
2005;Rust <10201>;1799,75
2005;Breitenbrunn am Neusiedler See <10301>;1757,5
2005;Donnerskirchen <10302>;1695,125
2005;Großhöflein <10303>;1834,625
2005;Hornstein <10304>;2613,625
2005;Klingenbach <10305>;1167,75
2005;Leithaprodersdorf <10306>;1169,375
2005;Mörbisch am See <10307>;2341,875
2005;Müllendorf <10308>;1289,875
2005;Neufeld an der Leitha <10309>;3031,5
2005;Oggau am Neusiedler See <10310>;1816,5
2005;Oslip <10311>;1310,875
2005;Purbach am Neusiedler See <10312>;2625,125
2005;Sankt Margarethen im Burgenland <10313>;2779,25
2005;Schützen am Gebirge <10314>;1404,875
2005;Siegendorf <10315>;2716,875
2005;Steinbrunn <10316>;2013,375
2005;Trausdorf an der Wulka <10317>;1782,875
2005;Wimpassing an der Leitha <10318>;1126
2005;Wulkaprodersdorf <10319>;1878,25
2005;Loretto <10320>;391
2005;Stotzing <10321>;803,375
2005;Zillingtal <10322>;892
2005;Zagersdorf <10323>;944,25
2005;Bocksdorf <10401>;774
2005;Burgauberg-Neudauberg <10402>;1357,75
2005;Eberau <10403>;948,125
2005;Gerersdorf-Sulz <10404>;1049,25
2005;Güssing <10405>;3827,75
2005;Güttenbach <10406>;970
2005;Heiligenbrunn <10407>;897,5
2005;Kukmirn <10408>;1954,875
2005;Neuberg im Burgenland <10409>;1012,5
2005;Neustift bei Güssing <10410>;533,375
2005;Olbendorf <10411>;1346,625
2005;Ollersdorf im Burgenland <10412>;982,25
2005;Sankt Michael im Burgenland <10413>;1059
2005;Stegersbach <10414>;2435,125
2005;Stinatz <10415>;1416,75
2005;Strem <10416>;925,375
2005;Tobaj <10417>;1409,875
2005;Hackerberg <10418>;349,125
2005;Wörterberg <10419>;480,625
2005;Großmürbisch <10420>;270,625
2005;Inzenhof <10421>;311,25
2005;Kleinmürbisch <10422>;253,25
2005;Tschanigraben <10423>;68,875
2005;Heugraben <10424>;236,875
2005;Rohr im Burgenland <10425>;392,125
2005;Bildein <10426>;322,5
2005;Rauchwart <10427>;470,25
2005;Moschendorf <10428>;433,375
2005;Deutsch Kaltenbrunn <10501>;1770,625
2005;Eltendorf <10502>;1020,75
2005;Heiligenkreuz im Lafnitztal <10503>;1233,75
2005;Jennersdorf <10504>;4237
2005;Minihof-Liebau <10505>;1143,5
2005;Mogersdorf <10506>;1170,375
2005;Neuhaus am Klausenbach <10507>;977,125
2005;Rudersdorf <10508>;2171,625
2005;Sankt Martin an der Raab <10509>;2072,375
2005;Weichselbaum <10510>;776,125
2005;Königsdorf <10511>;745,125
2005;Mühlgraben <10512>;429,75
2005;Draßburg <10601>;1055,25
2005;Forchtenstein <10602>;2807,25
2005;Hirm <10603>;916,75
2005;Loipersbach im Burgenland <10604>;1248,125
2005;Marz <10605>;1958,375
2005;Mattersburg <10606>;6588,25
2005;Neudörfl <10607>;4240,375
2005;Pöttelsdorf <10608>;654,375
2005;Pöttsching <10609>;2792,875
2005;Rohrbach bei Mattersburg <10610>;2702,375
2005;Bad Sauerbrunn <10611>;1951
2005;Schattendorf <10612>;2445,5
2005;Sieggraben <10613>;1297,25
2005;Sigleß <10614>;1111,75
