jahr;gemnr;n
2005;Sulzberg <80238>;1700,625
2005;Warth <80239>;189,5
2005;Wolfurt <80240>;7988,625
2005;Dornbirn <80301>;43636,625
2005;Hohenems <80302>;14502
2005;Lustenau <80303>;20527,875
2005;Altach <80401>;6108,5
2005;Düns <80402>;387,125
2005;Dünserberg <80403>;140,25
2005;Feldkirch <80404>;29645
2005;Frastanz <80405>;6277,5
2005;Fraxern <80406>;665,75
2005;Göfis <80407>;2966,5
2005;Götzis <80408>;10371,75
2005;Klaus <80409>;2974,625
2005;Koblach <80410>;3970
2005;Laterns <80411>;722,25
2005;Mäder <80412>;3287,75
2005;Meiningen <80413>;1894,375
2005;Rankweil <80414>;11593,25
2005;Röns <80415>;293,625
2005;Röthis <80416>;1921,75
2005;Satteins <80417>;2508,5
2005;Schlins <80418>;2230
2005;Schnifis <80419>;724,125
2005;Sulz <80420>;2236
2005;Übersaxen <80421>;602,125
2005;Viktorsberg <80422>;387,375
2005;Weiler <80423>;1864
2005;Zwischenwasser <80424>;3144,375
2006;Bartholomäberg <80101>;2242,25
2006;Blons <80102>;323,25
2006;Bludenz <80103>;13865
2006;Bludesch <80104>;2237,375
2006;Brand <80105>;686,75
2006;Bürs <80106>;3047,5
2006;Bürserberg <80107>;529,375
2006;Dalaas <80108>;1548,75
2006;Fontanella <80109>;430
2006;Gaschurn <80110>;1636,125
2006;Innerbraz <80111>;977
2006;Klösterle <80112>;736,5
2006;Lech <80113>;1759,625
2006;Lorüns <80114>;291,5
2006;Ludesch <80115>;3099,75
2006;Nenzing <80116>;5989,5
2006;Nüziders <80117>;4807,125
2006;Raggal <80118>;884,875
2006;St. Anton im Montafon <80119>;682,875
2006;St. Gallenkirch <80120>;2258,125
2006;St. Gerold <80121>;369,75
2006;Schruns <80122>;3781,25
2006;Silbertal <80123>;870,625
2006;Sonntag <80124>;696
2006;Stallehr <80125>;255,75
2006;Thüringen <80126>;2239,875
2006;Thüringerberg <80127>;680,125
2006;Tschagguns <80128>;2299
2006;Vandans <80129>;2694,375
2006;Alberschwende <80201>;3042,5
2006;Andelsbuch <80202>;2272,375
2006;Au <80203>;1689,875
2006;Bezau <80204>;1980,5
2006;Bildstein <80205>;712,875
2006;Bizau <80206>;984,375
2006;Bregenz <80207>;27056,75
2006;Buch <80208>;563,5
2006;Damüls <80209>;321,625
2006;Doren <80210>;1012,75
2006;Egg <80211>;3416
2006;Eichenberg <80212>;380
2006;Fußach <80213>;3653
2006;Gaißau <80214>;1559,75
2006;Hard <80215>;11996,625
2006;Hittisau <80216>;1862
2006;Höchst <80217>;7581,75
2006;Hörbranz <80218>;6333,625
2006;Hohenweiler <80219>;1265,125
2006;Kennelbach <80220>;1925,375
2006;Krumbach <80221>;998,5
2006;Langen bei Bregenz <80222>;1320,75
2006;Langenegg <80223>;1053,5
2006;Lauterach <80224>;9131,875
2006;Lingenau <80225>;1349,25
2006;Lochau <80226>;5368,875
2006;Mellau <80227>;1279
2006;Mittelberg <80228>;4940,875
2006;Möggers <80229>;534,625
2006;Reuthe <80230>;590,375
2006;Riefensberg <80231>;986,375
2006;Schnepfau <80232>;487,5
2006;Schoppernau <80233>;913,625
2006;Schröcken <80234>;241,25
2006;Schwarzach <80235>;3525,5
2006;Schwarzenberg <80236>;1807,875
2006;Sibratsgfäll <80237>;393,875
2006;Sulzberg <80238>;1734,25
2006;Warth <80239>;183,25
2006;Wolfurt <80240>;8024,375
2006;Dornbirn <80301>;44044,875
2006;Hohenems <80302>;14741,5
2006;Lustenau <80303>;20538,375
2006;Altach <80401>;6128,75
2006;Düns <80402>;388,5
2006;Dünserberg <80403>;140,125
2006;Feldkirch <80404>;29900,625
2006;Frastanz <80405>;6309
2006;Fraxern <80406>;650,375
2006;Göfis <80407>;2966,5
2006;Götzis <80408>;10497,5
